customerID,monthly_spend,revenue_at_risk,decline_flag,risk_score,action_segment,recommended_action
8199-ZLLSA,116.76388059701493,311.58333333333337,35,225.4791641791045,Urgent Action,Call / Retain Offer / Discount Intervention
4670-TABXH,105.46583333333334,316.1733333333334,34,224.74375000000003,Urgent Action,Call / Retain Offer / Discount Intervention
0530-IJVDB,113.04714285714286,305.01,34,220.32014285714286,Urgent Action,Call / Retain Offer / Discount Intervention
0136-IFMYD,112.48623188405797,301.49999999999994,36,218.24586956521733,Urgent Action,Call / Retain Offer / Discount Intervention
3580-HYCSP,108.31055555555555,297.1633333333333,37,214.49116666666663,Urgent Action,Call / Retain Offer / Discount Intervention
8207-DMRVL,115.03958333333334,287.1433333333333,34,210.19787499999998,Urgent Action,Call / Retain Offer / Discount Intervention
9788-HNGUT,117.83541666666666,284.9033333333333,39,210.192625,Urgent Action,Call / Retain Offer / Discount Intervention
5161-UBZXI,103.59144927536232,291.8033333333334,35,209.6594347826087,Urgent Action,Call / Retain Offer / Discount Intervention
2664-XJZNO,109.81347222222222,286.7416666666667,36,208.58904166666665,Urgent Action,Call / Retain Offer / Discount Intervention
2272-WUSPA,109.20430555555555,282.99833333333333,38,206.36029166666668,Urgent Action,Call / Retain Offer / Discount Intervention
4815-YOSUK,106.23208333333334,283.79333333333335,32,205.34562499999998,Urgent Action,Call / Retain Offer / Discount Intervention
9558-IHEZX,106.63915492957747,279.21999999999997,32,202.7237464788732,Urgent Action,Call / Retain Offer / Discount Intervention
8809-RIHDD,104.54666666666667,279.28,36,202.53199999999998,Urgent Action,Call / Retain Offer / Discount Intervention
6519-ZHPXP,108.03444444444443,275.3566666666667,39,201.52433333333332,Urgent Action,Call / Retain Offer / Discount Intervention
8015-IHCGW,115.05527777777777,271.66333333333347,38,201.31458333333342,Urgent Action,Call / Retain Offer / Discount Intervention
6904-JLBGY,115.03069444444444,271.72999999999996,37,201.2472083333333,Urgent Action,Call / Retain Offer / Discount Intervention
3571-RFHAR,108.918,272.4666666666666,37,199.85539999999992,Urgent Action,Call / Retain Offer / Discount Intervention
3192-NQECA,108.33882352941177,270.5766666666666,32,198.04764705882346,Urgent Action,Call / Retain Offer / Discount Intervention
2040-XBAVJ,114.75750000000001,256.9066666666667,33,191.87125000000003,Urgent Action,Call / Retain Offer / Discount Intervention
8915-NNTRC,106.32958333333335,260.6,35,191.75887500000002,Urgent Action,Call / Retain Offer / Discount Intervention
8085-MSNLK,116.70161290322581,255.6033333333334,32,191.57248387096777,Urgent Action,Call / Retain Offer / Discount Intervention
5153-LXKDT,107.26705882352941,259.2116666666667,37,191.40711764705884,Urgent Action,Call / Retain Offer / Discount Intervention
9959-WOFKT,105.80352112676057,259.8466666666667,37,191.34905633802816,Urgent Action,Call / Retain Offer / Discount Intervention
3407-JMJQQ,106.66042253521127,259.70000000000005,34,191.21812676056342,Urgent Action,Call / Retain Offer / Discount Intervention
6295-OSINB,108.15375,258.4533333333334,33,190.81812500000004,Urgent Action,Call / Retain Offer / Discount Intervention
9844-FELAJ,106.60671428571429,258.39666666666665,36,190.62001428571426,Urgent Action,Call / Retain Offer / Discount Intervention
1090-ESELR,102.47583333333334,260.12,37,190.51475,Urgent Action,Call / Retain Offer / Discount Intervention
2223-GDSHL,114.32577464788733,253.18999999999994,36,189.81173239436615,Urgent Action,Call / Retain Offer / Discount Intervention
0906-QVPMS,113.22652777777778,252.90999999999997,36,189.31395833333332,Urgent Action,Call / Retain Offer / Discount Intervention
0862-PRCBS,102.08558823529411,258.7633333333334,34,189.28367647058823,Urgent Action,Call / Retain Offer / Discount Intervention
6257-DTAYD,101.34042253521127,259.1116666666666,34,189.26912676056335,Urgent Action,Call / Retain Offer / Discount Intervention
7134-HBPBS,105.38805555555557,257.22833333333324,33,189.25341666666662,Urgent Action,Call / Retain Offer / Discount Intervention
2172-EJXVF,104.7487323943662,254.8,38,188.10461971830986,Urgent Action,Call / Retain Offer / Discount Intervention
8213-TAZPM,106.71797101449275,253.38333333333335,34,187.44539130434782,Urgent Action,Call / Retain Offer / Discount Intervention
2380-DAMQP,116.52027777777776,247.9166666666667,34,187.10608333333337,Urgent Action,Call / Retain Offer / Discount Intervention
3617-XLSGQ,110.60772727272727,249.85666666666668,39,186.9963181818182,Urgent Action,Call / Retain Offer / Discount Intervention
4868-AADLV,114.37590909090909,246.3233333333332,34,185.50677272727265,Urgent Action,Call / Retain Offer / Discount Intervention
8071-SBTRN,111.49357142857143,246.5933333333333,35,184.9040714285714,Urgent Action,Call / Retain Offer / Discount Intervention
6990-YNRIO,108.77553846153846,247.23999999999998,30,183.97666153846154,Urgent Action,Call / Retain Offer / Discount Intervention
8975-SKGRX,123.8405633802817,237.98000000000002,37,183.6401690140845,Urgent Action,Call / Retain Offer / Discount Intervention
2789-CZANW,109.87109375,244.94500000000002,34,183.328328125,Urgent Action,Call / Retain Offer / Discount Intervention
0536-ACXIP,107.11111111111111,245.48333333333323,37,183.12333333333325,Urgent Action,Call / Retain Offer / Discount Intervention
6837-HAEVO,108.03,244.88666666666666,31,182.44099999999997,Urgent Action,Call / Retain Offer / Discount Intervention
8894-JVDCV,113.9591935483871,241.28000000000006,32,182.15575806451614,Urgent Action,Call / Retain Offer / Discount Intervention
4627-MIHJH,111.16434782608695,240.24500000000003,36,181.0963043478261,Urgent Action,Call / Retain Offer / Discount Intervention
3398-GCPMU,91.30000000000001,250.07833333333338,32,180.63700000000003,Urgent Action,Call / Retain Offer / Discount Intervention
4718-WXBGI,90.9198611111111,249.35333333333327,35,180.3879583333333,Urgent Action,Call / Retain Offer / Discount Intervention
8041-TMEID,109.63301587301588,239.23000000000005,37,180.12790476190474,Urgent Action,Call / Retain Offer / Discount Intervention
5748-RNCJT,106.1004347826087,240.59833333333341,34,179.58913043478265,Urgent Action,Call / Retain Offer / Discount Intervention
2499-AJYUA,112.1525,236.27333333333328,32,178.60974999999993,Urgent Action,Call / Retain Offer / Discount Intervention
6993-YGFJV,112.47333333333333,235.09166666666667,36,178.397,Urgent Action,Call / Retain Offer / Discount Intervention
1335-HQMKX,99.78458333333333,241.55,35,178.365375,Urgent Action,Call / Retain Offer / Discount Intervention
2878-RMWXY,102.15680555555555,239.875,37,178.27204166666664,Urgent Action,Call / Retain Offer / Discount Intervention
6804-GDMOI,107.99983606557376,237.87999999999994,29,178.0279508196721,Urgent Action,Call / Retain Offer / Discount Intervention
5574-NXZIU,110.55015873015873,235.59999999999994,32,177.72504761904756,Urgent Action,Call / Retain Offer / Discount Intervention
0864-FVJNJ,112.41484375,233.8633333333333,35,177.54245312499995,Urgent Action,Call / Retain Offer / Discount Intervention
0129-KPTWJ,93.42791666666668,242.69000000000003,32,176.842375,Urgent Action,Call / Retain Offer / Discount Intervention
2988-QRAJY,109.19101449275362,234.97499999999997,31,176.84230434782606,Urgent Action,Call / Retain Offer / Discount Intervention
5569-IDSEY,109.59633802816901,233.8216666666666,34,176.57190140845066,Urgent Action,Call / Retain Offer / Discount Intervention
7710-JSYOA,90.07246376811594,243.51999999999992,33,176.43373913043473,Urgent Action,Call / Retain Offer / Discount Intervention
2388-LAESQ,112.36444444444444,230.70166666666674,37,175.83033333333339,Urgent Action,Call / Retain Offer / Discount Intervention
6176-YJWAS,97.56736111111111,238.1416666666667,34,175.55520833333335,Urgent Action,Call / Retain Offer / Discount Intervention
0853-TWRVK,104.33569444444444,235.0900000000001,32,175.5547083333334,Urgent Action,Call / Retain Offer / Discount Intervention
7940-UQQUG,107.71968749999999,233.10500000000005,30,175.17890625,Urgent Action,Call / Retain Offer / Discount Intervention
3096-YXENJ,106.04692307692308,231.86666666666662,37,174.6340769230769,Urgent Action,Call / Retain Offer / Discount Intervention
7975-JMZNT,88.34287878787879,240.3266666666667,37,174.39886363636364,Urgent Action,Call / Retain Offer / Discount Intervention
3882-IYOIJ,114.53766666666667,228.51166666666666,29,174.3683,Urgent Action,Call / Retain Offer / Discount Intervention
1343-EHPYB,101.72238095238096,234.41666666666666,31,174.26671428571424,Urgent Action,Call / Retain Offer / Discount Intervention
8905-IAZPF,96.44739130434782,236.7166666666666,33,174.26421739130433,Urgent Action,Call / Retain Offer / Discount Intervention
6616-AALSR,105.41199999999999,231.91666666666663,34,174.1736,Urgent Action,Call / Retain Offer / Discount Intervention
9488-FYQAU,108.66746031746032,229.3066666666666,30,173.18423809523804,Urgent Action,Call / Retain Offer / Discount Intervention
2324-EFHVG,106.10375,229.38,29,172.35912499999998,Urgent Action,Call / Retain Offer / Discount Intervention
6048-UWKAL,105.67159420289855,228.38666666666668,36,172.33347826086955,Urgent Action,Call / Retain Offer / Discount Intervention
6719-FGEDO,94.18833333333333,233.54666666666665,34,171.78449999999998,Urgent Action,Call / Retain Offer / Discount Intervention
4024-CSNBY,94.79583333333333,231.79333333333338,39,171.41475000000003,Urgent Action,Call / Retain Offer / Discount Intervention
8466-PZBLH,104.59611940298508,227.02000000000004,34,170.99083582089554,Urgent Action,Call / Retain Offer / Discount Intervention
5360-LJCNJ,102.90464788732393,227.36333333333332,28,170.08939436619715,Urgent Action,Call / Retain Offer / Discount Intervention
1265-BCFEO,81.50873239436619,236.84000000000006,35,170.0566197183099,Urgent Action,Call / Retain Offer / Discount Intervention
3351-NQLDI,96.60880597014925,228.6566666666667,33,169.4766417910448,Urgent Action,Call / Retain Offer / Discount Intervention
